Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-20,71100.0,71500.0,70800.0,71000.0,69979.789063,9732730,Samsung
2023-07-21,70400.0,70400.0,69400.0,70300.0,69289.851563,16528926,Samsung
2023-07-24,70100.0,70900.0,69900.0,70400.0,69388.414063,13418597,Samsung
2023-07-25,70000.0,70500.0,69800.0,70000.0,68994.164063,14314945,Samsung
2023-07-26,69800.0,70600.0,68100.0,69800.0,68797.03125,30016221,Samsung
2023-07-27,69900.0,71700.0,69300.0,71700.0,70669.726563,24261179,Samsung
2023-07-28,71800.0,72400.0,70100.0,70600.0,69585.53125,19420683,Samsung
2023-07-31,70900.0,71000.0,69800.0,69800.0,68797.03125,13035420,Samsung
2023-08-01,70100.0,71200.0,70000.0,71100.0,70078.359375,12299254,Samsung
2023-08-02,70700.0,71000.0,69800.0,69900.0,68895.601563,13835020,Samsung
2023-08-03,69900.0,70200.0,68500.0,68800.0,67811.398438,20087090,Samsung
2023-08-04,68800.0,69100.0,68200.0,68300.0,67318.585938,12360193,Samsung
2023-08-07,67700.0,69200.0,67600.0,68500.0,67515.710938,10968505,Samsung
2023-08-08,69000.0,69100.0,67400.0,67600.0,66628.648438,14664709,Samsung
2023-08-09,68000.0,69600.0,67900.0,68900.0,67909.96875,17259673,Samsung
2023-08-10,68300.0,68500.0,67800.0,68000.0,67022.90625,10227311,Samsung
2023-08-11,68400.0,68800.0,67500.0,67500.0,66530.078125,9781038,Samsung
2023-08-14,67500.0,67900.0,66900.0,67300.0,66332.960938,9352343,Samsung
2023-08-16,66700.0,67100.0,66300.0,67000.0,66037.273438,13174578,Samsung
2023-08-17,66300.0,66800.0,66000.0,66700.0,65741.570313,10778652,Samsung
2023-08-18,66000.0,66700.0,65800.0,66300.0,65347.328125,11745006,Samsung
2023-08-21,66600.0,67100.0,66300.0,66600.0,65643.015625,9720067,Samsung
2023-08-22,67200.0,67700.0,66300.0,66600.0,65643.015625,10500242,Samsung
2023-08-23,66700.0,67100.0,66400.0,67100.0,66135.828125,9549352,Samsung
2023-08-24,68300.0,68700.0,67900.0,68200.0,67220.023438,15044463,Samsung
2023-08-25,67100.0,67400.0,66900.0,67100.0,66135.828125,7032462,Samsung
2023-08-28,66800.0,67000.0,66500.0,66800.0,65840.140625,5824628,Samsung
